DATE,STATION_NAME,LATITUDE,LONGITUDE,precip,snow
2010-01-01,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.18,
2010-01-02,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.18,
2010-01-03,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.19000000000000006,
2010-01-04,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.18999999999999995,
2010-01-05,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.19999999999999996,
2010-01-06,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.18999999999999995,
2010-01-07,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.19000000000000017,
2010-01-08,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.18999999999999995,
2010-01-09,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.18999999999999995,
2010-01-10,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.19999999999999996,
2010-01-11,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.18999999999999995,
2010-01-12,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.20000000000000018,
2010-01-13,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.20000000000000018,
2010-01-14,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.19999999999999973,
2010-01-15,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.20999999999999996,
2010-01-16,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.20000000000000018,
2010-01-17,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.18999999999999995,
2010-01-18,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.18999999999999995,
2010-01-19,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.18999999999999995,
2010-01-20,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.18000000000000016,
2010-01-21,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.18000000000000016,
2010-01-22,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.16000000000000014,
2010-01-23,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.17999999999999972,
2010-01-24,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.16999999999999993,
2010-01-25,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.17999999999999972,
2010-01-26,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.16999999999999993,
2010-01-27,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.16999999999999993,
2010-01-28,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.17000000000000082,
2010-01-29,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.15999999999999925,
2010-01-30,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.16000000000000014,
2010-01-31,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.16999999999999993,
2010-02-01,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.1900000000000004,
2010-02-02,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.1899999999999995,
2010-02-03,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.1900000000000004,
2010-02-04,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.17999999999999972,
2010-02-05,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.1800000000000006,
2010-02-06,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.16999999999999993,
2010-02-07,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.16000000000000014,
2010-02-08,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.15999999999999925,
2010-02-09,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.15000000000000036,
2010-02-10,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.15000000000000036,
2010-02-11,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.14999999999999947,
2010-02-12,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.14000000000000057,
2010-02-13,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.11999999999999922,
2010-02-14,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.1200000000000001,
2010-02-15,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.1200000000000001,
2010-02-16,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.13000000000000078,
2010-02-17,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.11999999999999922,
2010-02-18,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.120000000000001,
2010-02-19,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.11999999999999922,
2010-02-20,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.10999999999999943,
2010-02-21,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.11000000000000121,
2010-02-22,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.10999999999999943,
2010-02-23,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.09999999999999964,
2010-02-24,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.10999999999999943,
2010-02-25,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.11000000000000121,
2010-02-26,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.129999999999999,
2010-02-27,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.120000000000001,
2010-02-28,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.129999999999999,
2010-03-01,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.10000000000000142,
2010-03-02,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.09999999999999964,
2010-03-03,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.08999999999999986,
2010-03-04,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.09999999999999964,
2010-03-05,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.09999999999999964,
2010-03-06,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.09999999999999964,
2010-03-07,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.11000000000000121,
2010-03-08,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.10999999999999943,
2010-03-09,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.09999999999999964,
2010-03-10,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.11000000000000121,
2010-03-11,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.10999999999999943,
2010-03-12,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.11999999999999922,
2010-03-13,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.120000000000001,
2010-03-14,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.129999999999999,
2010-03-15,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.13000000000000078,
2010-03-16,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.11999999999999922,
2010-03-17,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.13000000000000078,
2010-03-18,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.129999999999999,
2010-03-19,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.13000000000000078,
2010-03-20,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.14000000000000057,
2010-03-21,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.1399999999999988,
2010-03-22,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.14000000000000057,
2010-03-23,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.14000000000000057,
2010-03-24,SEATTLE BOEING FIELD WA US,47.53028,-122.30083,0.129999999999999,
